dt,symbol,open,high,low,close,volume,vwap,is_trading_day
2024-06-05,2330.tw,841.0,857.0,835.0,854.0,31975446,848.666667,1
2024-06-06,2330.tw,893.0,899.0,885.0,894.0,62925136,892.666667,1
2024-06-07,2330.tw,885.0,888.0,879.0,879.0,41075399,882.0,1
2024-06-11,2330.tw,892.0,895.0,883.0,883.0,48228488,887.0,1
2024-06-12,2330.tw,888.0,914.0,888.0,909.0,48106925,903.666667,1
2024-06-13,2330.tw,923.0,935.0,911.0,919.0,55857091,921.666667,1
2024-06-14,2330.tw,916.0,922.0,905.0,922.0,38408123,916.333333,1
2024-06-17,2330.tw,913.0,925.0,913.0,921.0,26292426,919.666667,1
2024-06-18,2330.tw,944.0,950.0,940.0,943.0,37876013,944.333333,1
2024-06-19,2330.tw,953.0,984.0,953.0,981.0,72228052,972.666667,1
2024-06-20,2330.tw,971.0,981.0,971.0,981.0,48225374,977.666667,1
2024-06-21,2330.tw,961.0,978.0,960.0,970.0,88376132,969.333333,1
2024-06-24,2330.tw,958.0,960.0,940.0,940.0,66391994,946.666667,1
2024-06-25,2330.tw,925.0,945.0,923.0,945.0,57368432,937.666667,1
2024-06-26,2330.tw,951.0,960.0,951.0,960.0,44967166,957.0,1
2024-06-27,2330.tw,951.0,961.0,949.0,960.0,39729446,956.666667,1
2024-06-28,2330.tw,956.0,971.0,955.0,966.0,39138210,964.0,1
2024-07-01,2330.tw,968.0,977.0,965.0,968.0,19935737,970.0,1
2024-07-02,2330.tw,967.0,971.0,959.0,960.0,25427569,963.333333,1
2024-07-03,2330.tw,976.0,979.0,967.0,979.0,24070411,975.0,1
2024-07-04,2330.tw,1000.0,1010.0,997.0,1005.0,41893299,1004.0,1
2024-07-05,2330.tw,1005.0,1010.0,1000.0,1005.0,19998094,1005.0,1
2024-07-08,2330.tw,1005.0,1050.0,1000.0,1035.0,40146763,1028.333333,1
2024-07-09,2330.tw,1030.0,1055.0,1025.0,1040.0,46373121,1040.0,1
2024-07-10,2330.tw,1020.0,1050.0,1015.0,1045.0,46206302,1036.666667,1
2024-07-11,2330.tw,1065.0,1080.0,1055.0,1080.0,41724336,1071.666667,1
2024-07-12,2330.tw,1030.0,1045.0,1025.0,1040.0,68983062,1036.666667,1
2024-07-15,2330.tw,1040.0,1045.0,1025.0,1040.0,38393309,1036.666667,1
2024-07-16,2330.tw,1040.0,1070.0,1035.0,1055.0,32125609,1053.333333,1
2024-07-17,2330.tw,1035.0,1045.0,1020.0,1030.0,54022399,1031.666667,1
2024-07-18,2330.tw,988.0,1005.0,986.0,1005.0,81990095,998.666667,1
2024-07-19,2330.tw,988.0,995.0,970.0,970.0,92507621,978.333333,1
2024-07-22,2330.tw,964.0,965.0,938.0,939.0,83062356,947.333333,1
2024-07-23,2330.tw,963.0,979.0,956.0,979.0,47213266,971.333333,1
2024-07-26,2330.tw,915.0,930.0,915.0,924.0,82081735,923.0,1
2024-07-29,2330.tw,942.0,948.0,936.0,944.0,40809258,942.666667,1
2024-07-30,2330.tw,930.0,949.0,926.0,940.0,41761392,938.333333,1
2024-07-31,2330.tw,929.0,940.0,928.0,934.0,39894991,934.0,1
2024-08-01,2330.tw,969.0,969.0,948.0,960.0,47382270,959.0,1
2024-08-02,2330.tw,918.0,928.0,903.0,903.0,76144485,911.333333,1
2024-08-05,2330.tw,852.0,857.0,813.0,815.0,144057989,828.333333,1
2024-08-06,2330.tw,868.0,895.0,840.0,880.0,102930842,871.666667,1
2024-08-07,2330.tw,901.0,920.0,893.0,920.0,59158704,911.0,1
2024-08-08,2330.tw,901.0,905.0,887.0,896.0,38236391,896.0,1
